   Radius        Density      Pressure     
2.000000e+03  7.943260e+14  6.794800e+34
3.000000e+03  7.943234e+14  6.794731e+34
4.000000e+03  7.943198e+14  6.794641e+34
5.000000e+03  7.943154e+14  6.794528e+34
6.000000e+03  7.943100e+14  6.794390e+34
7.000000e+03  7.943037e+14  6.794227e+34
8.000000e+03  7.942964e+14  6.794040e+34
9.000000e+03  7.942882e+14  6.793829e+34
1.000000e+04  7.942790e+14  6.793592e+34
1.100000e+04  7.942688e+14  6.793331e+34
1.200000e+04  7.942577e+14  6.793045e+34
1.300000e+04  7.942456e+14  6.792735e+34
1.400000e+04  7.942325e+14  6.792399e+34
1.500000e+04  7.942184e+14  6.792039e+34
1.600000e+04  7.942034e+14  6.791654e+34
1.700000e+04  7.941875e+14  6.791244e+34
1.800000e+04  7.941705e+14  6.790810e+34
1.900000e+04  7.941526e+14  6.790350e+34
2.000000e+04  7.941337e+14  6.789866e+34
2.100000e+04  7.941139e+14  6.789357e+34
2.200000e+04  7.940931e+14  6.788823e+34
2.300000e+04  7.940713e+14  6.788265e+34
2.400000e+04  7.940486e+14  6.787681e+34
2.500000e+04  7.940248e+14  6.787073e+34
2.600000e+04  7.940002e+14  6.786440e+34
2.700000e+04  7.939745e+14  6.785783e+34
2.800000e+04  7.939479e+14  6.785100e+34
2.900000e+04  7.939203e+14  6.784393e+34
3.000000e+04  7.938917e+14  6.783661e+34
3.100000e+04  7.938622e+14  6.782904e+34
3.200000e+04  7.938317e+14  6.782122e+34
3.300000e+04  7.938003e+14  6.781316e+34
3.400000e+04  7.937678e+14  6.780485e+34
3.500000e+04  7.937344e+14  6.779629e+34
3.600000e+04  7.937001e+14  6.778748e+34
3.700000e+04  7.936647e+14  6.777843e+34
3.800000e+04  7.936284e+14  6.776913e+34
3.900000e+04  7.935911e+14  6.775958e+34
4.000000e+04  7.935529e+14  6.774978e+34
4.100000e+04  7.935137e+14  6.773974e+34
4.200000e+04  7.934735e+14  6.772945e+34
4.300000e+04  7.934323e+14  6.771891e+34
4.400000e+04  7.933902e+14  6.770813e+34
4.500000e+04  7.933471e+14  6.769710e+34
4.600000e+04  7.933031e+14  6.768582e+34
4.700000e+04  7.932580e+14  6.767429e+34
4.800000e+04  7.932120e+14  6.766252e+34
4.900000e+04  7.931651e+14  6.765050e+34
5.000000e+04  7.931171e+14  6.763824e+34
5.100000e+04  7.930682e+14  6.762573e+34
5.200000e+04  7.930183e+14  6.761297e+34
5.300000e+04  7.929675e+14  6.759996e+34
5.400000e+04  7.929157e+14  6.758671e+34
5.500000e+04  7.928629e+14  6.757321e+34
5.600000e+04  7.928091e+14  6.755947e+34
5.700000e+04  7.927544e+14  6.754548e+34
5.800000e+04  7.926987e+14  6.753124e+34
5.900000e+04  7.926420e+14  6.751676e+34
6.000000e+04  7.925844e+14  6.750203e+34
6.100000e+04  7.925258e+14  6.748705e+34
6.200000e+04  7.924662e+14  6.747183e+34
6.300000e+04  7.924056e+14  6.745637e+34
6.400000e+04  7.923441e+14  6.744066e+34
6.500000e+04  7.922816e+14  6.742470e+34
6.600000e+04  7.922181e+14  6.740850e+34
6.700000e+04  7.921537e+14  6.739205e+34
6.800000e+04  7.920883e+14  6.737535e+34
6.900000e+04  7.920219e+14  6.735841e+34
7.000000e+04  7.919545e+14  6.734123e+34
7.100000e+04  7.918862e+14  6.732380e+34
7.200000e+04  7.918169e+14  6.730613e+34
7.300000e+04  7.917466e+14  6.728821e+34
7.400000e+04  7.916754e+14  6.727005e+34
7.500000e+04  7.916032e+14  6.725164e+34
7.600000e+04  7.915300e+14  6.723299e+34
7.700000e+04  7.914558e+14  6.721409e+34
7.800000e+04  7.913807e+14  6.719495e+34
7.900000e+04  7.913046e+14  6.717556e+34
8.000000e+04  7.912275e+14  6.715593e+34
8.100000e+04  7.911494e+14  6.713606e+34
8.200000e+04  7.910704e+14  6.711594e+34
8.300000e+04  7.909904e+14  6.709558e+34
8.400000e+04  7.909094e+14  6.707498e+34
8.500000e+04  7.908275e+14  6.705413e+34
8.600000e+04  7.907445e+14  6.703304e+34
8.700000e+04  7.906606e+14  6.701170e+34
8.800000e+04  7.905758e+14  6.699012e+34
8.900000e+04  7.904899e+14  6.696830e+34
9.000000e+04  7.904031e+14  6.694624e+34
9.100000e+04  7.903153e+14  6.692393e+34
9.200000e+04  7.902265e+14  6.690138e+34
9.300000e+04  7.901368e+14  6.687859e+34
9.400000e+04  7.900460e+14  6.685555e+34
9.500000e+04  7.899543e+14  6.683228e+34
9.600000e+04  7.898617e+14  6.680876e+34
9.700000e+04  7.897680e+14  6.678500e+34
9.800000e+04  7.896734e+14  6.676099e+34
9.900000e+04  7.895778e+14  6.673675e+34
1.000000e+05  7.894812e+14  6.671226e+34
1.010000e+05  7.893836e+14  6.668753e+34
1.020000e+05  7.892851e+14  6.666256e+34
1.030000e+05  7.891856e+14  6.663735e+34
1.040000e+05  7.890851e+14  6.661190e+34
1.050000e+05  7.889836e+14  6.658620e+34
1.060000e+05  7.888812e+14  6.656027e+34
1.070000e+05  7.887778e+14  6.653409e+34
1.080000e+05  7.886734e+14  6.650768e+34
1.090000e+05  7.885680e+14  6.648102e+34
1.100000e+05  7.884616e+14  6.645413e+34
1.110000e+05  7.883543e+14  6.642699e+34
1.120000e+05  7.882460e+14  6.639961e+34
1.130000e+05  7.881367e+14  6.637200e+34
1.140000e+05  7.880264e+14  6.634414e+34
1.150000e+05  7.879151e+14  6.631605e+34
1.160000e+05  7.878029e+14  6.628771e+34
1.170000e+05  7.876897e+14  6.625914e+34
1.180000e+05  7.875755e+14  6.623032e+34
1.190000e+05  7.874603e+14  6.620127e+34
1.200000e+05  7.873442e+14  6.617198e+34
1.210000e+05  7.872270e+14  6.614245e+34
1.220000e+05  7.871089e+14  6.611268e+34
1.230000e+05  7.869898e+14  6.608268e+34
1.240000e+05  7.868697e+14  6.605243e+34
1.250000e+05  7.867487e+14  6.602195e+34
