   Radius        Density      Pressure     
2.000000e+03  1.258922e+15  2.705061e+35
3.000000e+03  1.258918e+15  2.705036e+35
4.000000e+03  1.258913e+15  2.705002e+35
5.000000e+03  1.258907e+15  2.704959e+35
6.000000e+03  1.258898e+15  2.704907e+35
7.000000e+03  1.258889e+15  2.704845e+35
8.000000e+03  1.258878e+15  2.704774e+35
9.000000e+03  1.258865e+15  2.704694e+35
1.000000e+04  1.258851e+15  2.704605e+35
1.100000e+04  1.258836e+15  2.704505e+35
1.200000e+04  1.258819e+15  2.704397e+35
1.300000e+04  1.258801e+15  2.704279e+35
1.400000e+04  1.258781e+15  2.704152e+35
1.500000e+04  1.258760e+15  2.704015e+35
1.600000e+04  1.258737e+15  2.703869e+35
1.700000e+04  1.258713e+15  2.703713e+35
1.800000e+04  1.258688e+15  2.703548e+35
1.900000e+04  1.258661e+15  2.703374e+35
2.000000e+04  1.258632e+15  2.703190e+35
2.100000e+04  1.258602e+15  2.702997e+35
2.200000e+04  1.258571e+15  2.702794e+35
2.300000e+04  1.258538e+15  2.702582e+35
2.400000e+04  1.258503e+15  2.702361e+35
2.500000e+04  1.258467e+15  2.702130e+35
2.600000e+04  1.258430e+15  2.701890e+35
2.700000e+04  1.258391e+15  2.701640e+35
2.800000e+04  1.258351e+15  2.701381e+35
2.900000e+04  1.258309e+15  2.701112e+35
3.000000e+04  1.258266e+15  2.700835e+35
3.100000e+04  1.258222e+15  2.700547e+35
3.200000e+04  1.258176e+15  2.700251e+35
3.300000e+04  1.258128e+15  2.699944e+35
3.400000e+04  1.258079e+15  2.699629e+35
3.500000e+04  1.258029e+15  2.699304e+35
3.600000e+04  1.257977e+15  2.698970e+35
3.700000e+04  1.257923e+15  2.698626e+35
3.800000e+04  1.257868e+15  2.698273e+35
3.900000e+04  1.257812e+15  2.697910e+35
4.000000e+04  1.257754e+15  2.697539e+35
4.100000e+04  1.257695e+15  2.697157e+35
4.200000e+04  1.257634e+15  2.696767e+35
4.300000e+04  1.257572e+15  2.696367e+35
4.400000e+04  1.257508e+15  2.695957e+35
4.500000e+04  1.257443e+15  2.695539e+35
4.600000e+04  1.257377e+15  2.695111e+35
4.700000e+04  1.257309e+15  2.694673e+35
4.800000e+04  1.257239e+15  2.694226e+35
4.900000e+04  1.257168e+15  2.693770e+35
5.000000e+04  1.257096e+15  2.693304e+35
5.100000e+04  1.257022e+15  2.692829e+35
5.200000e+04  1.256947e+15  2.692345e+35
5.300000e+04  1.256870e+15  2.691851e+35
5.400000e+04  1.256791e+15  2.691348e+35
5.500000e+04  1.256712e+15  2.690836e+35
5.600000e+04  1.256630e+15  2.690314e+35
5.700000e+04  1.256548e+15  2.689783e+35
5.800000e+04  1.256464e+15  2.689243e+35
5.900000e+04  1.256378e+15  2.688693e+35
6.000000e+04  1.256291e+15  2.688134e+35
6.100000e+04  1.256202e+15  2.687566e+35
6.200000e+04  1.256112e+15  2.686988e+35
6.300000e+04  1.256021e+15  2.686401e+35
6.400000e+04  1.255928e+15  2.685805e+35
6.500000e+04  1.255833e+15  2.685199e+35
6.600000e+04  1.255738e+15  2.684584e+35
6.700000e+04  1.255640e+15  2.683960e+35
6.800000e+04  1.255541e+15  2.683326e+35
6.900000e+04  1.255441e+15  2.682683e+35
7.000000e+04  1.255339e+15  2.682031e+35
7.100000e+04  1.255236e+15  2.681369e+35
7.200000e+04  1.255132e+15  2.680699e+35
7.300000e+04  1.255025e+15  2.680019e+35
7.400000e+04  1.254918e+15  2.679329e+35
7.500000e+04  1.254809e+15  2.678630e+35
7.600000e+04  1.254698e+15  2.677923e+35
7.700000e+04  1.254586e+15  2.677205e+35
7.800000e+04  1.254473e+15  2.676479e+35
7.900000e+04  1.254358e+15  2.675743e+35
8.000000e+04  1.254241e+15  2.674998e+35
8.100000e+04  1.254123e+15  2.674244e+35
8.200000e+04  1.254004e+15  2.673480e+35
8.300000e+04  1.253883e+15  2.672708e+35
8.400000e+04  1.253761e+15  2.671926e+35
8.500000e+04  1.253637e+15  2.671134e+35
8.600000e+04  1.253512e+15  2.670334e+35
8.700000e+04  1.253385e+15  2.669524e+35
8.800000e+04  1.253257e+15  2.668705e+35
8.900000e+04  1.253127e+15  2.667877e+35
9.000000e+04  1.252996e+15  2.667040e+35
9.100000e+04  1.252864e+15  2.666193e+35
9.200000e+04  1.252730e+15  2.665337e+35
9.300000e+04  1.252594e+15  2.664473e+35
9.400000e+04  1.252457e+15  2.663598e+35
9.500000e+04  1.252319e+15  2.662715e+35
9.600000e+04  1.252179e+15  2.661822e+35
9.700000e+04  1.252037e+15  2.660921e+35
9.800000e+04  1.251894e+15  2.660010e+35
9.900000e+04  1.251750e+15  2.659090e+35
1.000000e+05  1.251604e+15  2.658161e+35
1.010000e+05  1.251457e+15  2.657222e+35
1.020000e+05  1.251308e+15  2.656275e+35
1.030000e+05  1.251158e+15  2.655318e+35
1.040000e+05  1.251006e+15  2.654352e+35
1.050000e+05  1.250853e+15  2.653377e+35
1.060000e+05  1.250698e+15  2.652393e+35
1.070000e+05  1.250542e+15  2.651400e+35
1.080000e+05  1.250384e+15  2.650397e+35
1.090000e+05  1.250225e+15  2.649386e+35
1.100000e+05  1.250065e+15  2.648365e+35
1.110000e+05  1.249903e+15  2.647336e+35
1.120000e+05  1.249739e+15  2.646297e+35
1.130000e+05  1.249574e+15  2.645249e+35
1.140000e+05  1.249408e+15  2.644192e+35
1.150000e+05  1.249240e+15  2.643126e+35
1.160000e+05  1.249071e+15  2.642051e+35
1.170000e+05  1.248900e+15  2.640967e+35
1.180000e+05  1.248727e+15  2.639874e+35
1.190000e+05  1.248554e+15  2.638771e+35
1.200000e+05  1.248378e+15  2.637660e+35
1.210000e+05  1.248201e+15  2.636540e+35
1.220000e+05  1.248023e+15  2.635410e+35
1.230000e+05  1.247843e+15  2.634272e+35
1.240000e+05  1.247662e+15  2.633124e+35
1.250000e+05  1.247480e+15  2.631968e+35
1.260000e+05  1.247295e+15  2.630802e+35
1.270000e+05  1.247110e+15  2.629628e+35
1.280000e+05  1.246923e+15  2.628444e+35
1.290000e+05  1.246734e+15  2.627252e+35
1.300000e+05  1.246544e+15  2.626051e+35
1.310000e+05  1.246352e+15  2.624840e+35
1.320000e+05  1.246159e+15  2.623621e+35
1.330000e+05  1.245965e+15  2.622392e+35
1.340000e+05  1.245769e+15  2.621155e+35
1.350000e+05  1.245571e+15  2.619909e+35
1.360000e+05  1.245372e+15  2.618654e+35
1.370000e+05  1.245172e+15  2.617390e+35
1.380000e+05  1.244970e+15  2.616117e+35
1.390000e+05  1.244767e+15  2.614835e+35
1.400000e+05  1.244562e+15  2.613544e+35
1.410000e+05  1.244356e+15  2.612244e+35
1.420000e+05  1.244148e+15  2.610935e+35
1.430000e+05  1.243938e+15  2.609618e+35
1.440000e+05  1.243728e+15  2.608291e+35
1.450000e+05  1.243515e+15  2.606956e+35
1.460000e+05  1.243302e+15  2.605612e+35
1.470000e+05  1.243086e+15  2.604259e+35
1.480000e+05  1.242870e+15  2.602897e+35
1.490000e+05  1.242651e+15  2.601526e+35
1.500000e+05  1.242432e+15  2.600147e+35
1.510000e+05  1.242210e+15  2.598758e+35
1.520000e+05  1.241988e+15  2.597361e+35
1.530000e+05  1.241764e+15  2.595955e+35
1.540000e+05  1.241538e+15  2.594540e+35
1.550000e+05  1.241311e+15  2.593117e+35
1.560000e+05  1.241082e+15  2.591684e+35
1.570000e+05  1.240852e+15  2.590243e+35
1.580000e+05  1.240621e+15  2.588793e+35
1.590000e+05  1.240388e+15  2.587334e+35
1.600000e+05  1.240153e+15  2.585867e+35
1.610000e+05  1.239917e+15  2.584391e+35
1.620000e+05  1.239680e+15  2.582906e+35
1.630000e+05  1.239441e+15  2.581412e+35
1.640000e+05  1.239200e+15  2.579910e+35
1.650000e+05  1.238958e+15  2.578399e+35
1.660000e+05  1.238715e+15  2.576879e+35
1.670000e+05  1.238470e+15  2.575350e+35
1.680000e+05  1.238223e+15  2.573813e+35
1.690000e+05  1.237975e+15  2.572268e+35
1.700000e+05  1.237726e+15  2.570713e+35
1.710000e+05  1.237475e+15  2.569150e+35
1.720000e+05  1.237222e+15  2.567578e+35
1.730000e+05  1.236969e+15  2.565998e+35
1.740000e+05  1.236713e+15  2.564409e+35
1.750000e+05  1.236456e+15  2.562811e+35
1.760000e+05  1.236198e+15  2.561205e+35
1.770000e+05  1.235938e+15  2.559590e+35
1.780000e+05  1.235677e+15  2.557966e+35
1.790000e+05  1.235414e+15  2.556334e+35
1.800000e+05  1.235149e+15  2.554694e+35
1.810000e+05  1.234884e+15  2.553044e+35
1.820000e+05  1.234616e+15  2.551387e+35
1.830000e+05  1.234347e+15  2.549720e+35
1.840000e+05  1.234077e+15  2.548045e+35
1.850000e+05  1.233805e+15  2.546362e+35
1.860000e+05  1.233532e+15  2.544670e+35
1.870000e+05  1.233257e+15  2.542970e+35
1.880000e+05  1.232981e+15  2.541261e+35
1.890000e+05  1.232703e+15  2.539544e+35
1.900000e+05  1.232424e+15  2.537818e+35
1.910000e+05  1.232143e+15  2.536084e+35
1.920000e+05  1.231861e+15  2.534341e+35
1.930000e+05  1.231577e+15  2.532590e+35
1.940000e+05  1.231292e+15  2.530830e+35
1.950000e+05  1.231005e+15  2.529062e+35
1.960000e+05  1.230716e+15  2.527285e+35
1.970000e+05  1.230427e+15  2.525501e+35
1.980000e+05  1.230135e+15  2.523707e+35
1.990000e+05  1.229843e+15  2.521906e+35
2.000000e+05  1.229548e+15  2.520096e+35
2.010000e+05  1.229252e+15  2.518277e+35
2.020000e+05  1.228955e+15  2.516451e+35
2.030000e+05  1.228656e+15  2.514615e+35
2.040000e+05  1.228356e+15  2.512772e+35
2.050000e+05  1.228054e+15  2.510920e+35
2.060000e+05  1.227751e+15  2.509060e+35
2.070000e+05  1.227446e+15  2.507192e+35
2.080000e+05  1.227140e+15  2.505315e+35
2.090000e+05  1.226832e+15  2.503430e+35
2.100000e+05  1.226523e+15  2.501537e+35
2.110000e+05  1.226212e+15  2.499636e+35
2.120000e+05  1.225899e+15  2.497726e+35
2.130000e+05  1.225586e+15  2.495808e+35
2.140000e+05  1.225270e+15  2.493882e+35
2.150000e+05  1.224953e+15  2.491948e+35
2.160000e+05  1.224635e+15  2.490005e+35
2.170000e+05  1.224315e+15  2.488054e+35
2.180000e+05  1.223994e+15  2.486096e+35
2.190000e+05  1.223671e+15  2.484129e+35
2.200000e+05  1.223346e+15  2.482153e+35
2.210000e+05  1.223020e+15  2.480170e+35
2.220000e+05  1.222693e+15  2.478178e+35
