   Radius        Density      Pressure     
1.340000e+05  3.078383e+15  3.955016e+36
1.350000e+05  3.077150e+15  3.950267e+36
1.360000e+05  3.075909e+15  3.945488e+36
1.370000e+05  3.074659e+15  3.940681e+36
1.380000e+05  3.073401e+15  3.935846e+36
1.390000e+05  3.072135e+15  3.930982e+36
1.400000e+05  3.070860e+15  3.926090e+36
1.410000e+05  3.069576e+15  3.921169e+36
1.420000e+05  3.068285e+15  3.916221e+36
1.430000e+05  3.066984e+15  3.911245e+36
1.440000e+05  3.065676e+15  3.906241e+36
1.450000e+05  3.064359e+15  3.901209e+36
1.460000e+05  3.063034e+15  3.896151e+36
1.470000e+05  3.061701e+15  3.891064e+36
1.480000e+05  3.060359e+15  3.885951e+36
1.490000e+05  3.059009e+15  3.880811e+36
1.500000e+05  3.057651e+15  3.875644e+36
1.510000e+05  3.056284e+15  3.870450e+36
1.520000e+05  3.054909e+15  3.865229e+36
1.530000e+05  3.053526e+15  3.859982e+36
1.540000e+05  3.052135e+15  3.854709e+36
1.550000e+05  3.050736e+15  3.849409e+36
1.560000e+05  3.049328e+15  3.844083e+36
1.570000e+05  3.047913e+15  3.838732e+36
1.580000e+05  3.046489e+15  3.833355e+36
1.590000e+05  3.045057e+15  3.827952e+36
1.600000e+05  3.043617e+15  3.822524e+36
1.610000e+05  3.042169e+15  3.817070e+36
1.620000e+05  3.040712e+15  3.811591e+36
1.630000e+05  3.039248e+15  3.806087e+36
1.640000e+05  3.037776e+15  3.800559e+36
1.650000e+05  3.036295e+15  3.795005e+36
1.660000e+05  3.034807e+15  3.789427e+36
1.670000e+05  3.033311e+15  3.783825e+36
1.680000e+05  3.031806e+15  3.778198e+36
1.690000e+05  3.030294e+15  3.772547e+36
1.700000e+05  3.028774e+15  3.766872e+36
1.710000e+05  3.027246e+15  3.761173e+36
1.720000e+05  3.025710e+15  3.755451e+36
1.730000e+05  3.024166e+15  3.749705e+36
1.740000e+05  3.022614e+15  3.743935e+36
1.750000e+05  3.021054e+15  3.738143e+36
1.760000e+05  3.019487e+15  3.732327e+36
1.770000e+05  3.017911e+15  3.726488e+36
1.780000e+05  3.016328e+15  3.720626e+36
1.790000e+05  3.014737e+15  3.714742e+36
