   Radius        Density      Pressure     
2.000000e+03  1.995257e+15  1.076903e+36
3.000000e+03  1.995249e+15  1.076890e+36
4.000000e+03  1.995238e+15  1.076872e+36
5.000000e+03  1.995224e+15  1.076849e+36
6.000000e+03  1.995207e+15  1.076822e+36
7.000000e+03  1.995186e+15  1.076789e+36
8.000000e+03  1.995163e+15  1.076752e+36
9.000000e+03  1.995137e+15  1.076709e+36
1.000000e+04  1.995108e+15  1.076662e+36
1.100000e+04  1.995075e+15  1.076610e+36
1.200000e+04  1.995040e+15  1.076552e+36
1.300000e+04  1.995001e+15  1.076490e+36
1.400000e+04  1.994960e+15  1.076422e+36
1.500000e+04  1.994915e+15  1.076350e+36
1.600000e+04  1.994867e+15  1.076273e+36
1.700000e+04  1.994816e+15  1.076190e+36
1.800000e+04  1.994762e+15  1.076103e+36
1.900000e+04  1.994705e+15  1.076011e+36
2.000000e+04  1.994645e+15  1.075914e+36
2.100000e+04  1.994582e+15  1.075811e+36
2.200000e+04  1.994516e+15  1.075704e+36
2.300000e+04  1.994447e+15  1.075592e+36
2.400000e+04  1.994374e+15  1.075475e+36
2.500000e+04  1.994299e+15  1.075353e+36
2.600000e+04  1.994220e+15  1.075225e+36
2.700000e+04  1.994138e+15  1.075093e+36
2.800000e+04  1.994054e+15  1.074956e+36
2.900000e+04  1.993966e+15  1.074814e+36
3.000000e+04  1.993875e+15  1.074667e+36
3.100000e+04  1.993781e+15  1.074515e+36
3.200000e+04  1.993684e+15  1.074358e+36
3.300000e+04  1.993584e+15  1.074196e+36
3.400000e+04  1.993480e+15  1.074030e+36
3.500000e+04  1.993374e+15  1.073858e+36
3.600000e+04  1.993265e+15  1.073681e+36
3.700000e+04  1.993152e+15  1.073499e+36
3.800000e+04  1.993037e+15  1.073313e+36
3.900000e+04  1.992918e+15  1.073121e+36
4.000000e+04  1.992796e+15  1.072924e+36
4.100000e+04  1.992672e+15  1.072723e+36
4.200000e+04  1.992544e+15  1.072516e+36
4.300000e+04  1.992413e+15  1.072305e+36
4.400000e+04  1.992279e+15  1.072089e+36
4.500000e+04  1.992142e+15  1.071867e+36
4.600000e+04  1.992002e+15  1.071641e+36
4.700000e+04  1.991858e+15  1.071410e+36
4.800000e+04  1.991712e+15  1.071174e+36
4.900000e+04  1.991563e+15  1.070933e+36
5.000000e+04  1.991410e+15  1.070687e+36
5.100000e+04  1.991255e+15  1.070436e+36
5.200000e+04  1.991096e+15  1.070180e+36
5.300000e+04  1.990934e+15  1.069919e+36
5.400000e+04  1.990769e+15  1.069654e+36
5.500000e+04  1.990602e+15  1.069383e+36
5.600000e+04  1.990431e+15  1.069108e+36
5.700000e+04  1.990257e+15  1.068827e+36
5.800000e+04  1.990079e+15  1.068542e+36
5.900000e+04  1.989899e+15  1.068252e+36
6.000000e+04  1.989716e+15  1.067957e+36
6.100000e+04  1.989530e+15  1.067657e+36
6.200000e+04  1.989340e+15  1.067352e+36
6.300000e+04  1.989148e+15  1.067042e+36
6.400000e+04  1.988952e+15  1.066727e+36
6.500000e+04  1.988754e+15  1.066408e+36
6.600000e+04  1.988552e+15  1.066083e+36
6.700000e+04  1.988347e+15  1.065754e+36
6.800000e+04  1.988139e+15  1.065420e+36
6.900000e+04  1.987929e+15  1.065081e+36
7.000000e+04  1.987715e+15  1.064737e+36
7.100000e+04  1.987497e+15  1.064388e+36
7.200000e+04  1.987277e+15  1.064035e+36
7.300000e+04  1.987054e+15  1.063676e+36
7.400000e+04  1.986828e+15  1.063313e+36
7.500000e+04  1.986599e+15  1.062945e+36
7.600000e+04  1.986366e+15  1.062572e+36
7.700000e+04  1.986131e+15  1.062194e+36
7.800000e+04  1.985892e+15  1.061811e+36
7.900000e+04  1.985650e+15  1.061423e+36
8.000000e+04  1.985406e+15  1.061031e+36
8.100000e+04  1.985158e+15  1.060634e+36
8.200000e+04  1.984907e+15  1.060232e+36
8.300000e+04  1.984653e+15  1.059825e+36
8.400000e+04  1.984396e+15  1.059414e+36
8.500000e+04  1.984136e+15  1.058997e+36
8.600000e+04  1.983873e+15  1.058576e+36
